('2022-11-30 17:49:10.776825', 'Exit')
('2022-11-30 17:49:19.883620', 'Enter')
('2022-11-30 17:49:31.113653', 'Exit')
('2022-11-30 17:49:44.397495', 'Enter')
('2022-11-30 17:50:12.639263', 'Exit')
('2022-11-30 17:50:13.284708', 'Enter')
('2022-11-30 17:50:13.880642', 'Enter')
('2022-11-30 17:50:31.559987', 'Enter')
('2022-11-30 17:51:41.074106', 'Exit')
('2022-11-30 17:51:54.904431', 'Exit')
